,utente,commento,hotel,dataIns,rating
0,Cleia1975,"In questo hotel molto carino verrete accolti - e sorpresi - dalla gentilezza del personale, a partire dal portiere di notte - avendo scelto di arrivare in tarda serata - fino ai proprietari e al personale della reception. Colazione abbondante, varia, dolce e salata, adatta a tutti i gusti: buffet riallestito continuamente e alcuni piatti espressi (davvero complimenti!!!) Le camere sono carine, molto pulite e dotate di tutti i comfort. Bel solarium con vasca idromassaggio e una piscina non molto grande ma adeguata alle dimensioni dell’hotel. Il parcheggio non è grandissimo ma, qualora non fosse disponibile nel cortile interno, assolutamente agevole. L’hotel non dispone di ristorante, ma qualora decidiate di fermarvi per il pranzo, vi proporranno comunque uno snack o un’insalata (per me, una soluzione perfetta!) Spero di tornarci presto.…",Hotel Central Park,2019-07-05,5 stelle
1,Marco M.,"Mi serviva solo per una notte, l’ho scelto fidandomi di Trip ed ancora una volta Trip non sbaglia. Rifatto a nuovo Con grande cura, pulito, tranquillissimo, personale squisito, meriterebbe una stella in più !!",Hotel Central Park,2019-07-05,5 stelle
2,virg0la,Ottimo albergo immerso nel verde e fuori dalla confusione. Abbiamo festeggiato il nostro anniversario e ci hanno omaggiato di una bottiglia. Tutto il personale e’ gentilissimo e sempre sorridente cosa molto difficile da trovare. Camere pulitissime e fornite di ogni confort proprio come in un 5 stelle. La colazione e’ eccezionale non manca proprio di nulla dai prodotti tipici alle uova preparate al Momento. Sicuramente da consigliare . Grazie a presto…,Hotel Central Park,2019-07-05,5 stelle
3,darwin59,"Abbiamo prenotato questo hotel per la vicinanza a Lucca nel periodo di Lucca Comics, e devo dire che ha soddisfatto in pieno le nostre aspettative. Camere adeguatamente spaziose con bel balconcino che si affaccia sul vicino parco, arredamento nuovissimo, bagno molto funzionale e pulizia ai massimi livelli. Il servizio è stato cortese e attento, la colazione ottima e con prodotti freschi e, a richiesta senza sovrapprezzo, era possibile avere anche piatti espresso. Silenzioso, tranquillissimo, con wi-fi di eccellente qualità, una location da mettere in agenda. Grazie!…",Hotel Central Park,2019-07-05,5 stelle
4,Emanuela P,"Carino , accogliente, pulito , si vede che i proprietari ci mettono amore ed impegno in quello che fanno .. confermo tutte le recensioni positive anche se mi sembrava impossibile che ce  ne fossero appunto solo tutte positive ma mi devo ricredere è proprio tutto vero . Due cose che ne danno il valore aggiunto : l accappatoio in bagno e a la colazione super in tutto ma soprattutto il cappuccino , davvero super .. ci torneremo e lo consiglio 🔝🔝🔝…",Hotel Central Park,2019-07-05,5 stelle
5,biancandre,Ho alloggiato in questo hotel con la mia famiglia per due notti semplicemente splendido personale gentilissimo camera pulitissima con terrazza spettacolare e che dire della colazione servita fino alle 11:30 con una scelta ampissima ciliegina sulla torta le crepes fatte al momento.Complimenti,Hotel Central Park,2019-07-05,5 stelle
6,Franci404,Quel week end tra amiche dove  scappi dalla città .. e fuggi al mare ..tra chiacchiere e sole.Siamo state pienamente colpite dalla gentilezza dello staff in particolare il Sig Gianfranco che ci ha accolte  venerdì sera molto tardi facendoci sentire subito a casa nostra è sempre attento ai nostri bisogni.Colazione spaziali .. dal dolce al salato con crêpes fatte al momento .Pulizia TOP .. camere sempre in Ordine con terrazzo .Per noi il massimo è stata la Jacuzzi sul terrazzo all’ultimo piano .... un relax pazzesco.Lo consiglio vivamente BravissimiFrancesca Vicenza,Hotel Central Park,2019-07-05,5 stelle
7,BLUSOLEIL,"ho viaggiato parecchio, andando anche in Hotel da 4 o 5 stelle, devo dire che questo 3 stelle posso paragonarlo tranquillamente a un Hotel di categoria superior! Camera matrimoniale Deluxe con vista piscina, mega terrazzo fantastico, con salottino e sdraio relax, comprese di telo.Pulizia SUPER, non abbiamo trovato una cosa fuori posto, tutto arredato  con stile,  bianco e blu, camera spaziosa, bagno bello, compreso anche di accappatoi in spugna morbida azzurra. Posizione ottima, strada silenziosa, a pochi passi dal mare, si va tranquillamente a piedi...... colazione...... che dire.... se si e' a dieta e un vero peccato perche' c'e di tutto di piu', dal dolce, al salato, alla frutta di stagione, macedonia, spremute da fare al momento, arance e pompelmi.... crepes fatte al momento,dal personale gentilissimo e attento!!si puo' farla fino alle 11,30, mai capitato in altri Hotel!!! Ultima chicca, e la terrazza all'ultimo piano, con solarium, vasca idromassaggio, doccia, e bagno.......il tutto con una splendida  vista montagne, noi tutti i giorni eravamo su' a fare un vero relax, concludo dicendo che lo staff e molto gentile, le ragazze della reception, dolci e simpatiche, ci hanno anche consigliato dove andare a mangiare una bella fiorentina a Pietrasanta.",Hotel Central Park,2019-07-05,5 stelle
8,equatore63,"giriamo molto ,ma raramente si trovano hotel cosi ben gestiti,sono rari in versilia e ancor di più in altre località (vedi costa romagnola ad esempio ).Qui sembra tutto facile....quello che non vedi o non trovi sul buffet,te lo fanno trovare il giorno dopo.......( Casualmente...)il personale è amabile e la propietà cura la gestione direttamente ( E SI VEDE !!!!!! ) la colazione infinita ... anche nel tempo, fino alle 11,30 sotto la veranda e bordo piscina....uno sballo !!! il solarium sul terrazzo è impreziosito da una vasca idromassaggio Jacuzzi..insomma ; WHAT'S MORE !!",Hotel Central Park,2019-07-05,5 stelle
9,pippolino63,"hotel bello e moderno,curato fin nei dettagli direttamente dalla propietà.Pulitissimo,personale attento e disponibile .Colazione incredibilmente abbondante e varia.Il buffet è aperto fino alle 11,30 !! RARO ESEMPIO DI GESTIONE PERFETTA.UNICO DIFETTUCCIO : NON SI TROVA MAI POSTO !!!! quindi se volete andare , prenotate con anticipo.",Hotel Central Park,2019-07-05,5 stelle
10,zucchiiii,"Soggiorno in questo hotel da almeno 4 anni. Una piccola vacanza con mia mamma all inizio dell estate. Maria e Marco sono due splendidi padroni di casa. Cortesi , disponibili nei confronti degli ospiti. Lo staff ( nessuno escluso ) sempre cordiale. Pulizia al top e colazione strepitosa ( sia per qualità sia per varietà ). Vi ringrazio per rendere questi pochi giorni davvero super!!!",Hotel Central Park,2019-07-05,5 stelle
11,Companion402352,"Hotel bello e accogliente, abbiamo apprezzato la piscina e la jacuzzi. Colazione ricca e buonissima. Molto varia e di ottima qualità. La nostra camera aveva un bel terrazzo con due sdraio. Nel complesso, ci torneremo e lo consigliamo!",Hotel Central Park,2019-07-05,5 stelle
12,antonio s,"l'albergo dista 900 metri dal pontile di marina di Pietrasanta e a piedi in 10 minuti raggiungi le spiagge; abbiamo soggiornato in un  we e ci siamo trovati benissimo; parcheggio interno sino a completamento spazi, camere pulite, silenziose e fornite di impianti di domotica; piacevoli e rilassanti spazi esterni; colazione super veramente eccezionale; personale gentile; che dire ci torneremo.",Hotel Central Park,2019-07-05,4 stelle
